PT,a,N,ROR,ROR_CI_lo,ROR_CI_hi,ROR_signal,PRR,PRR_chi2,PRR_p,PRR_signal,EBGM,EB05,EB95,IC,EBGM_signal,SIGNAL_COUNT
SWELLING,200,397209,1.196635474657243,1.0337292705094558,1.3852141949143608,True,1.1954434194018262,5.796102175051584,0.016061742649103195,False,1.175830728716876,1.0468660243308583,1.320682752579141,0.2336803863496542,False,1
SYMPTOM RECURRENCE,32,397209,1.8408022088048788,1.2659059019051575,2.6767809256922113,True,1.8399866630293107,10.523937921697977,0.0011783811521776256,False,1.7011454106386186,1.2747495230385741,2.2701681042709945,0.7665064650701042,False,1
THERAPEUTIC RESPONSE UNEXPECTED,85,397209,1.820705985619361,1.447028897461879,2.2908805013394695,True,1.8185914692731562,26.930911006919995,2.1085942154925284e-07,False,1.6958472966070863,1.4194644758017605,2.026044400854175,0.762006267574405,False,1
TOOTHACHE,59,397209,1.9577346385617975,1.4839452454740314,2.582794026069585,True,1.9560218579951236,23.44233830165768,1.287143211686889e-06,False,1.7998475220215189,1.45418110285704,2.2276806486911633,0.8478746906987586,False,1
UPPER RESPIRATORY TRACT INFECTION,133,397209,1.4896226573922864,1.2425037717011098,1.7858904833572145,True,1.4876487913854002,18.78845029670218,1.460488947851528e-05,False,1.4274430065183341,1.2380189886331747,1.6458499874123016,0.5134331442887677,False,1
ARTHROPOD BITE,17,397209,1.7221945230131275,1.0329075879844467,2.871461115784808,True,1.7218223819173368,4.451588377072079,0.03486880029719246,False,1.5959601838653252,1.077071020387505,2.3648291155090773,0.6744246595448595,False,1
SCAR,41,397209,1.84103186646434,1.3224784418016142,2.5629138640020392,True,1.839986663029311,13.48593562854101,0.0002403582577483885,False,1.7051967351060509,1.3209180249035326,2.2012690042810843,0.7699381981280581,False,1
SINUS DISORDER,61,397209,1.8216140707971864,1.3890751395292587,2.3888396880033596,True,1.8200949153208863,19.37135442529532,1.0760914252641853e-05,False,1.694327825841878,1.3737213355242197,2.089759187096393,0.7607130405254465,False,1
SINUS PAIN,11,397209,1.991135710664188,1.0476690891738591,3.7842305927041227,True,1.99080524196614,4.596386800002942,0.03203941263558233,False,1.7746622757610704,1.092562770200075,2.882604349068863,0.827544500987571,False,1
RASH PAPULAR,37,397209,1.4751792729784807,1.0465785690862954,2.079302932148886,True,1.4746463508754768,4.990541939675021,0.02548622561166928,False,1.4108401213380257,1.078485759275143,1.8456153276561595,0.49655450868539475,False,1
RESPIRATORY SYNCYTIAL VIRUS INFECTION,54,397209,1.4477126234815452,1.0899122015127136,1.9229730957034068,True,1.446979802964798,6.599760819484585,0.010199246780788372,False,1.3901438380397177,1.1124672601721877,1.737129675295509,0.4752341661793392,False,1
RESPIRATORY TRACT INFECTION,105,397209,1.7094621156121335,1.3914337604493026,2.1001795470087594,True,1.707204120336474,26.69347842779589,2.384248769563761e-07,False,1.607822108336476,1.369883693961634,1.8870886217935752,0.6851077935703556,False,1
PERIORBITAL PAIN,4,397209,2.9442143874859794,0.977097179909242,8.871582620149011,False,2.9439786608468976,4.053841392533961,0.04407095154660846,True,2.165456696390442,0.9971748460022127,4.702487956592321,1.114671322473633,False,1
PHARYNGEAL SWELLING,39,397209,1.4167982376279373,1.0149437193356428,1.9777621240511443,True,1.4163055235159827,4.233374156288593,0.039636569223144964,False,1.3626064227181034,1.048815053493262,1.770279952646155,0.4463689121147012,False,1
PRODUCT DOSE OMISSION ISSUE,2841,397209,1.9913232452225986,1.9103318425471996,2.0757484006948848,True,1.905956043874431,1096.5677927268741,1.8401637086105408e-240,False,1.7723357634660015,1.7184772699619055,1.8278822265308443,0.8256519438477709,False,1
OROPHARYNGEAL PAIN,258,397209,1.7511557413727108,1.5349132524558353,1.9978630229664027,True,1.7452814671380965,71.24011550078066,3.162914547982088e-17,False,1.6415013449417344,1.4818586497130586,1.8183425699659548,0.715015931963879,False,1
NASOPHARYNGITIS,741,397209,1.9549348166632772,1.8066540678715655,2.1153856764093977,True,1.933486339831793,287.7898421916135,1.5070787518976569e-64,False,1.793403950882707,1.6882715522891012,1.9050831761518314,0.8427004811215812,False,1
NODULE,30,397209,1.4923287718409226,1.0190929333152978,2.1853209756044985,True,1.4918810781318739,4.288795422298495,0.038364337186316065,False,1.4232137674538594,1.05659864827678,1.917035793272765,0.5091523716911082,False,1
